Dataset_Name,Dataset_Type,Creation_Time,Features,Training_Samples,dataset_type,phenotype,gwas_file,fold,scaling,timestamp,pca_components,snps,weight_file_present,model
dataset_46,genotype,2025-01-20 12:51:05,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:05,,snps_5000,True,
dataset_47,genotype,2025-01-20 12:51:06,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:06,,snps_5000,True,
dataset_48,genotype,2025-01-20 12:51:06,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:06,,snps_10000,False,
dataset_49,genotype,2025-01-20 12:51:10,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:10,,snps_10000,True,
dataset_50,genotype,2025-01-20 12:51:14,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:14,,snps_10000,True,
dataset_51,genotype,2025-01-20 12:51:15,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:15,,snps_10000,True,
dataset_52,genotype,2025-01-20 12:51:17,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:16,,snps_10000,True,
dataset_53,genotype,2025-01-20 12:51:21,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:20,,snps_10000,True,
dataset_54,genotype,2025-01-20 12:51:25,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:24,,snps_10000,True,
dataset_55,genotype,2025-01-20 12:51:26,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:26,,snps_10000,True,
dataset_56,genotype,2025-01-20 12:51:27,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:27,,snps_10000,True,
dataset_57,genotype,2025-01-20 12:51:28,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:27,,snps_annotated_50,False,
dataset_58,genotype,2025-01-20 12:51:30,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:30,,snps_annotated_50,True,
dataset_59,genotype,2025-01-20 12:51:34,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:33,,snps_annotated_50,True,
dataset_60,genotype,2025-01-20 12:51:34,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:34,,snps_annotated_50,True,
dataset_61,genotype,2025-01-20 12:51:35,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:35,,snps_annotated_50,True,
dataset_62,genotype,2025-01-20 12:51:38,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:38,,snps_annotated_50,True,
dataset_63,genotype,2025-01-20 12:51:41,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:41,,snps_annotated_50,True,
