Dataset,Model,ML_Parameters,Train AUC,Validation AUC,Test AUC,Train_Val_Gap,Val_Stability,Train_Stability,Composite_Score,Overall_Rank,Train AUC_std,Validation AUC_std,Test AUC_std,Phenotype_first,Dataset_first,Fold_<lambda>,Dataset_Type,Creation_Time,Features,Training_Samples,dataset_type,phenotype,gwas_file,fold,scaling,timestamp,pca_components,snps,weight_file_present,model,Validation AUC_Norm,Train_Val_Gap_Norm,Train_Stability_Norm,Val_Stability_Norm
16,LightGBM,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.923458445085849,0.6962774363476735,0.5274144440384849,0.22718100873817548,0.8613940349821475,0.9887416883020219,0.5526644826050559,1.0,0.011386504514957893,0.1609088981220135,0.13004340890782798,migraine,16,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:27,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:27,,snps_200,True,,0.39255487269534695,0.5206318170457627,0.9887416883020219,0.8613940349821475
19,LightGBM,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.923458445085849,0.6962774363476735,0.5274144440384849,0.22718100873817548,0.8613940349821475,0.9887416883020219,0.5526644826050559,1.0,0.011386504514957893,0.1609088981220135,0.13004340890782798,migraine,19,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:32,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:32,,snps_200,True,,0.39255487269534695,0.5206318170457627,0.9887416883020219,0.8613940349821475
20,LightGBM,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.923458445085849,0.6962774363476735,0.5274144440384849,0.22718100873817548,0.8613940349821475,0.9887416883020219,0.5526644826050559,1.0,0.011386504514957893,0.1609088981220135,0.13004340890782798,migraine,20,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:32,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:32,,snps_200,True,,0.39255487269534695,0.5206318170457627,0.9887416883020219,0.8613940349821475
21,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.7370763827919228,0.5501007794422117,0.2629236172080772,0.9048415980609825,1.0,0.5639920729155039,1.0,0.0,0.10516581260514081,0.1303341719291542,migraine,21,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:32,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:32,,snps_500,False,,0.47415276558384556,0.4409660009326912,1.0,0.9048415980609825
22,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.7370763827919228,0.5501007794422117,0.2629236172080772,0.9048415980609825,1.0,0.5639920729155039,1.0,0.0,0.10516581260514081,0.1303341719291542,migraine,22,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:34,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:34,,snps_500,True,,0.47415276558384556,0.4409660009326912,1.0,0.9048415980609825
24,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.7370763827919228,0.5501007794422117,0.2629236172080772,0.9048415980609825,1.0,0.5639920729155039,1.0,0.0,0.10516581260514081,0.1303341719291542,migraine,24,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:37,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:37,,snps_500,True,,0.47415276558384556,0.4409660009326912,1.0,0.9048415980609825
25,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.7370763827919228,0.5501007794422117,0.2629236172080772,0.9048415980609825,1.0,0.5639920729155039,1.0,0.0,0.10516581260514081,0.1303341719291542,migraine,25,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:37,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:37,,snps_500,True,,0.47415276558384556,0.4409660009326912,1.0,0.9048415980609825
28,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.7370763827919228,0.5501007794422117,0.2629236172080772,0.9048415980609825,1.0,0.5639920729155039,1.0,0.0,0.10516581260514081,0.1303341719291542,migraine,28,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:42,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:41,,snps_500,True,,0.47415276558384556,0.4409660009326912,1.0,0.9048415980609825
29,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.7370763827919228,0.5501007794422117,0.2629236172080772,0.9048415980609825,1.0,0.5639920729155039,1.0,0.0,0.10516581260514081,0.1303341719291542,migraine,29,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:42,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:42,,snps_500,True,,0.47415276558384556,0.4409660009326912,1.0,0.9048415980609825
30,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.6845390693590869,0.5390524905614419,0.3154609306409131,0.8416522639006181,1.0,0.5152598794113721,1.0,0.0,0.1881391435526153,0.15922556235909405,migraine,30,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:42,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:42,,snps_1000,False,,0.36907813871817385,0.36556899443806834,1.0,0.8416522639006181
