Dataset,Model,ML_Parameters,Train AUC,Validation AUC,Test AUC,Train_Val_Gap,Val_Stability,Train_Stability,Composite_Score,Overall_Rank,Train AUC_std,Validation AUC_std,Test AUC_std,Phenotype_first,Dataset_first,Fold_<lambda>,Dataset_Type,Creation_Time,Features,Training_Samples,dataset_type,phenotype,gwas_file,fold,scaling,timestamp,pca_components,snps,weight_file_present,model,Validation AUC_Norm,Train_Val_Gap_Norm,Train_Stability_Norm,Val_Stability_Norm
15,LightGBM,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.923458445085849,0.6962774363476735,0.5274144440384849,0.2271810087381754,0.8613940349821475,0.988741688302022,0.5010813168986799,1.0,0.0113865045149578,0.1609088981220135,0.1300434089078279,migraine,15,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:27,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:27,,snps_200,True,,0.2406935908691837,0.414577270340046,0.988741688302022,0.8613940349821475
16,LightGBM,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.923458445085849,0.6962774363476735,0.5274144440384849,0.2271810087381754,0.8613940349821475,0.988741688302022,0.5010813168986799,1.0,0.0113865045149578,0.1609088981220135,0.1300434089078279,migraine,16,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:27,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:27,,snps_200,True,,0.2406935908691837,0.414577270340046,0.988741688302022,0.8613940349821475
19,LightGBM,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.923458445085849,0.6962774363476735,0.5274144440384849,0.2271810087381754,0.8613940349821475,0.988741688302022,0.5010813168986799,1.0,0.0113865045149578,0.1609088981220135,0.1300434089078279,migraine,19,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:32,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:32,,snps_200,True,,0.2406935908691837,0.414577270340046,0.988741688302022,0.8613940349821475
20,LightGBM,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.923458445085849,0.6962774363476735,0.5274144440384849,0.2271810087381754,0.8613940349821475,0.988741688302022,0.5010813168986799,1.0,0.0113865045149578,0.1609088981220135,0.1300434089078279,migraine,20,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:32,27,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:32,,snps_200,True,,0.2406935908691837,0.414577270340046,0.988741688302022,0.8613940349821475
21,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.7370763827919228,0.5501007794422117,0.2629236172080772,0.9048415980609824,1.0,0.5179725261613368,1.0,0.0,0.1051658126051408,0.1303341719291542,migraine,21,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:32,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:32,,snps_500,False,,0.342690956979807,0.3423300757658943,1.0,0.9048415980609824
22,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.7370763827919228,0.5501007794422117,0.2629236172080772,0.9048415980609824,1.0,0.5179725261613368,1.0,0.0,0.1051658126051408,0.1303341719291542,migraine,22,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:34,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:34,,snps_500,True,,0.342690956979807,0.3423300757658943,1.0,0.9048415980609824
24,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.7370763827919228,0.5501007794422117,0.2629236172080772,0.9048415980609824,1.0,0.5179725261613368,1.0,0.0,0.1051658126051408,0.1303341719291542,migraine,24,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:37,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:37,,snps_500,True,,0.342690956979807,0.3423300757658943,1.0,0.9048415980609824
25,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.7370763827919228,0.5501007794422117,0.2629236172080772,0.9048415980609824,1.0,0.5179725261613368,1.0,0.0,0.1051658126051408,0.1303341719291542,migraine,25,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:37,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:37,,snps_500,True,,0.342690956979807,0.3423300757658943,1.0,0.9048415980609824
28,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.7370763827919228,0.5501007794422117,0.2629236172080772,0.9048415980609824,1.0,0.5179725261613368,1.0,0.0,0.1051658126051408,0.1303341719291542,migraine,28,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:42,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:41,,snps_500,True,,0.342690956979807,0.3423300757658943,1.0,0.9048415980609824
29,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.7370763827919228,0.5501007794422117,0.2629236172080772,0.9048415980609824,1.0,0.5179725261613368,1.0,0.0,0.1051658126051408,0.1303341719291542,migraine,29,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:42,44,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:42,,snps_500,True,,0.342690956979807,0.3423300757658943,1.0,0.9048415980609824
30,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.6845390693590869,0.5390524905614419,0.3154609306409131,0.8416522639006181,1.0,0.4527551920635285,1.0,0.0,0.1881391435526153,0.159225562359094,migraine,30,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:42,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:42,,snps_1000,False,,0.2113476733977173,0.2107760230193072,1.0,0.8416522639006181
31,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.6845390693590869,0.5390524905614419,0.3154609306409131,0.8416522639006181,1.0,0.4527551920635285,1.0,0.0,0.1881391435526153,0.159225562359094,migraine,31,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:44,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:44,,snps_1000,True,,0.2113476733977173,0.2107760230193072,1.0,0.8416522639006181
