Dataset_Name,Dataset_Type,Creation_Time,Features,Training_Samples,dataset_type,phenotype,gwas_file,fold,scaling,timestamp,pca_components,snps,weight_file_present,model
dataset_1,covariates,2025-01-26 15:13:23,152,582,covariates,migraine,migraine.gz,0,False,2025-01-26 15:13:22,,,,
dataset_2,pca,2025-01-26 15:13:23,15,582,pca,migraine,migraine.gz,0,False,2025-01-26 15:13:23,10.0,,,
dataset_3,genotype,2025-01-26 15:13:23,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:23,,snps_50,False,
dataset_4,genotype,2025-01-26 15:13:24,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:24,,snps_50,True,
dataset_5,genotype,2025-01-26 15:13:26,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:26,,snps_50,True,
dataset_6,genotype,2025-01-26 15:13:27,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:26,,snps_50,True,
dataset_7,genotype,2025-01-26 15:13:27,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:27,,snps_50,True,
dataset_8,genotype,2025-01-26 15:13:29,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:29,,snps_50,True,
dataset_9,genotype,2025-01-26 15:13:31,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:31,,snps_50,True,
dataset_10,genotype,2025-01-26 15:13:31,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:31,,snps_50,True,
dataset_11,genotype,2025-01-26 15:13:31,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:31,,snps_50,True,
dataset_12,genotype,2025-01-26 15:13:33,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:33,,snps_50,True,
dataset_13,genotype,2025-01-26 15:13:34,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:34,,snps_50,True,
dataset_14,genotype,2025-01-26 15:13:34,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:34,,snps_50,True,
dataset_15,genotype,2025-01-26 15:13:35,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:34,,snps_50,True,
dataset_16,genotype,2025-01-26 15:13:37,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:37,,snps_50,True,
dataset_17,genotype,2025-01-26 15:13:39,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:39,,snps_50,True,
dataset_18,genotype,2025-01-26 15:13:39,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:39,,snps_50,True,
dataset_19,genotype,2025-01-26 15:13:39,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:39,,snps_50,True,
dataset_20,genotype,2025-01-26 15:13:41,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:41,,snps_50,True,
dataset_21,genotype,2025-01-26 15:13:43,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:43,,snps_50,True,
dataset_22,genotype,2025-01-26 15:13:43,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:43,,snps_50,True,
dataset_23,genotype,2025-01-26 15:13:43,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:43,,snps_50,True,
dataset_24,genotype,2025-01-26 15:13:43,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:43,,snps_200,False,
dataset_25,genotype,2025-01-26 15:13:45,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:45,,snps_200,True,
dataset_26,genotype,2025-01-26 15:13:46,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:46,,snps_200,True,
dataset_27,genotype,2025-01-26 15:13:47,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:47,,snps_200,True,
dataset_28,genotype,2025-01-26 15:13:47,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:47,,snps_200,True,
dataset_29,genotype,2025-01-26 15:13:49,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:49,,snps_200,True,
dataset_30,genotype,2025-01-26 15:13:51,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:51,,snps_200,True,
dataset_31,genotype,2025-01-26 15:13:51,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:51,,snps_200,True,
dataset_32,genotype,2025-01-26 15:13:51,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:51,,snps_200,True,
dataset_33,genotype,2025-01-26 15:13:53,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:53,,snps_200,True,
dataset_34,genotype,2025-01-26 15:13:54,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:54,,snps_200,True,
dataset_35,genotype,2025-01-26 15:13:54,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:54,,snps_200,True,
dataset_36,genotype,2025-01-26 15:13:55,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:55,,snps_200,True,
dataset_37,genotype,2025-01-26 15:13:57,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:57,,snps_200,True,
dataset_38,genotype,2025-01-26 15:13:59,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:59,,snps_200,True,
dataset_39,genotype,2025-01-26 15:13:59,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:59,,snps_200,True,
dataset_40,genotype,2025-01-26 15:13:59,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:59,,snps_200,True,
dataset_41,genotype,2025-01-26 15:14:01,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:14:01,,snps_200,True,
dataset_42,genotype,2025-01-26 15:14:03,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:14:03,,snps_200,True,
dataset_43,genotype,2025-01-26 15:14:03,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:14:03,,snps_200,True,
dataset_44,genotype,2025-01-26 15:14:03,27,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:14:03,,snps_200,True,
