Dataset,Model,ML_Parameters,Train AUC,Validation AUC,Test AUC,Train_Val_Gap,Val_Stability,Train_Stability,Composite_Score,Overall_Rank,Train AUC_std,Validation AUC_std,Test AUC_std,Phenotype_first,Dataset_first,Fold_<lambda>,Dataset_Type,Creation_Time,Features,Training_Samples,dataset_type,phenotype,gwas_file,fold,scaling,timestamp,pca_components,snps,weight_file_present,model,Validation AUC_Norm,Train_Val_Gap_Norm,Train_Stability_Norm,Val_Stability_Norm
1,Naive Bayes,{'var_smoothing': 1e-07},0.7487440225618471,0.5550921861281826,0.5867978930702715,0.19365183643366457,0.9119142748863215,0.9725159061461788,0.5211364187669323,1.0,0.02826081679500059,0.09659430446426467,0.1353329943765878,migraine,1,"['0', '1', '2', '3', '4']",covariates,2025-01-26 15:13:23,152,582,covariates,migraine,migraine.gz,0,False,2025-01-26 15:13:22,,,,,0.11018437225636513,0.6110675405457959,0.9725159061461788,0.9119142748863215
2,Logistic Regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.6540219777939391,0.537822651448639,0.5419498234076239,0.11619932634530006,0.8404618741341834,0.983482532622086,0.5333752827752942,1.0,0.016794876197624323,0.18982196667774803,0.10499808651082053,migraine,2,"['0', '1', '2', '3', '4']",pca,2025-01-26 15:13:23,15,582,pca,migraine,migraine.gz,0,False,2025-01-26 15:13:23,10.0,,,,0.07564530289727811,0.7672867042229234,0.983482532622086,0.8404618741341834
3,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.648305313550442,0.6286259877085162,0.6321027178987537,0.019679325841925777,0.9139776828378827,0.9809683616155265,0.6085223103005086,1.0,0.019400868701953684,0.09411861884309873,0.14533530535110584,migraine,3,"['0', '1', '2', '3', '4']",genotype,2025-01-26 15:13:23,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:23,,snps_50,False,,0.2572519754170324,0.8904135316321015,0.9809683616155265,0.9139776828378827
4,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.6482967636188415,0.6293722563652326,0.6325858096861933,0.018924507253608835,0.913028925950654,0.9809762823416928,0.609473308427666,1.0,0.019392637722999404,0.09525555168889195,0.1448145937981835,migraine,4,"['0', '1', '2', '3', '4']",genotype,2025-01-26 15:13:24,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:24,,snps_50,True,,0.2587445127304653,0.8946168211155181,0.9809762823416928,0.913028925950654
6,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.6483290514417197,0.6289991220368745,0.6323442637924735,0.019329929404845236,0.9135047016818851,0.9810165279733618,0.6089757314917018,1.0,0.019350817733780005,0.09468511564184118,0.14507417777510295,migraine,6,"['0', '1', '2', '3', '4']",genotype,2025-01-26 15:13:27,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:26,,snps_50,True,,0.25799824407374894,0.8923591837295127,0.9810165279733618,0.9135047016818851
7,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.6482967636188415,0.6289991220368745,0.6329324990865912,0.019297641581967007,0.9135047016818851,0.9809762823416928,0.6090036420167192,1.0,0.019392637722999415,0.09468511564184118,0.1443928598791192,migraine,7,"['0', '1', '2', '3', '4']",genotype,2025-01-26 15:13:27,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:27,,snps_50,True,,0.25799824407374894,0.8925389819862688,0.9809762823416928,0.9135047016818851
8,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.6483290514417197,0.6289991220368745,0.6323442637924735,0.019329929404845236,0.9135047016818851,0.9810165279733618,0.6089757314917018,1.0,0.019350817733780005,0.09468511564184118,0.14507417777510295,migraine,8,"['0', '1', '2', '3', '4']",genotype,2025-01-26 15:13:29,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:29,,snps_50,True,,0.25799824407374894,0.8923591837295127,0.9810165279733618,0.9135047016818851
10,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.648305313550442,0.6286259877085162,0.6321027178987537,0.019679325841925777,0.9139776828378827,0.9809683616155267,0.6085223103005087,1.0,0.01940086870195359,0.09411861884309873,0.14533530535110584,migraine,10,"['0', '1', '2', '3', '4']",genotype,2025-01-26 15:13:31,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:31,,snps_50,True,,0.2572519754170324,0.8904135316321015,0.9809683616155267,0.9139776828378827
11,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.648305313550442,0.6286259877085162,0.6321027178987537,0.019679325841925777,0.9139776828378827,0.9809683616155267,0.6085223103005087,1.0,0.01940086870195359,0.09411861884309873,0.14533530535110584,migraine,11,"['0', '1', '2', '3', '4']",genotype,2025-01-26 15:13:31,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:31,,snps_50,True,,0.2572519754170324,0.8904135316321015,0.9809683616155267,0.9139776828378827
14,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.6482967636188415,0.6289991220368745,0.6323442637924734,0.019297641581967007,0.9135047016818851,0.9809762823416925,0.6090036420167192,1.0,0.019392637722999498,0.09468511564184118,0.14507417777510287,migraine,14,"['0', '1', '2', '3', '4']",genotype,2025-01-26 15:13:34,12,582,genotype,migraine,migraine.gz,0,False,2025-01-26 15:13:34,,snps_50,True,,0.25799824407374894,0.8925389819862688,0.9809762823416925,0.9135047016818851
