Combination_Size,Datasets,Train_AUC_Mean,Train_AUC_Std,Validation_AUC_Mean,Validation_AUC_Std,Test_AUC_Mean,Test_AUC_Std
2,"[1, 171]",0.9528681039810181,0.0557051470660342,0.6453599512577057,0.23363781427340766,0.5719826638698577,0.07524513129003504
2,"[1, 651]",0.7860082387924194,0.27148792854658044,0.6734723389148712,0.15039462259115624,0.5584558963775634,0.07594028846497575
2,"[1, 172]",0.8881454110145569,0.13434622493884088,0.7199253797531128,0.07072720915137405,0.5999305725097657,0.10892118347379706
2,"[1, 652]",0.7570918679237366,0.3313042381646102,0.6702019333839416,0.23862743783014068,0.5954928398132324,0.1491638517554009
2,"[1, 782]",0.7243717186152935,0.3964396749339773,0.5401097416877747,0.182532834411487,0.40385779440402986,0.15636531740600815
2,"[1, 779]",0.9630402803421021,0.03620721401734932,0.6273748874664307,0.06471383489556498,0.5197404742240905,0.08733480532681666
2,"[1, 194]",0.783053207397461,0.19054626251434548,0.6929148435592651,0.09749152614545978,0.41423514783382415,0.13653402671281592
2,"[1, 584]",0.8377783298492432,0.17247058816539787,0.5528095006942749,0.04288300235555869,0.525543749332428,0.039697099551539376
2,"[1, 390]",0.7106983959674835,0.3640759089148956,0.6223353862762451,0.16258455646553474,0.5548979997634887,0.097834231632361
2,"[1, 195]",0.9592596650123596,0.0361823443171334,0.6734942674636841,0.055928242766102504,0.5968219876289368,0.09003491832286166
2,"[1, 585]",0.6388554066419602,0.32131417876984475,0.6969622611999512,0.18452887325574377,0.6153641045093536,0.08348389224933744
2,"[1, 388]",0.7758005321025848,0.19934551184638422,0.6390913248062133,0.09154546267533392,0.5643498778343201,0.10047373741079708
2,"[1, 387]",0.8644597411155701,0.13201668389379537,0.663827919960022,0.08147398216725305,0.5384697377681732,0.11473885770178596
2,"[1, 777]",0.8983277678489685,0.10621827766125615,0.722093939781189,0.10485940183268873,0.513813591003418,0.09624651908764606
2,"[1, 192]",0.7295994758605957,0.2601004709666601,0.7735864758491516,0.13770973798280142,0.5538057208061218,0.1489568699237223
2,"[171, 651]",0.7497437410056591,0.4237367514347474,0.8319271564483642,0.13957804852132183,0.5075008749961853,0.12388605237860485
2,"[171, 172]",0.9417328476905823,0.09912505887086852,0.7629148602485657,0.13038835095786455,0.5553691387176514,0.12729737411591766
2,"[171, 652]",0.9078058719635009,0.1268088273479693,0.8327085375785828,0.13903158337089866,0.5855875790119172,0.13406234271537523
2,"[171, 782]",0.883887767791748,0.1237025341013654,0.626136964559555,0.26667716017932147,0.5121600091457367,0.16328916435392404
2,"[171, 779]",0.8702213525772095,0.16634328179578306,0.7352765560150146,0.10956138758566947,0.6584401965141297,0.06330339861279911
2,"[171, 194]",0.9237065434455871,0.09711129559602102,0.7947849035263062,0.11222253517468862,0.5938437819480896,0.11707555660628317
2,"[171, 584]",0.9524584293365479,0.02738594842044394,0.7316285848617554,0.12288151103964186,0.5585446536540986,0.20553589477376802
2,"[171, 390]",0.8331739664077759,0.28355862243012486,0.6986786723136902,0.14032680660464714,0.5059545874595642,0.15581928212217752
2,"[171, 195]",0.7761596620082856,0.29802328496997893,0.7720324993133545,0.10860885909898192,0.5280210614204407,0.04915480420642208
2,"[171, 585]",0.7982822537422181,0.2633850294471148,0.7139903426170349,0.12239882428960648,0.6634706139564515,0.04829311500410465
2,"[171, 388]",0.6167100608348847,0.27505947733103814,0.5629236102104187,0.14425718604160176,0.5494422674179077,0.057637203685124754
2,"[171, 387]",0.8400065779685975,0.09200596500158403,0.7580158233642578,0.1414166678102053,0.6012079834938049,0.0791620069733104
2,"[171, 777]",0.9434052348136902,0.07986770763448314,0.7632308959960937,0.08014946951668035,0.5606466054916381,0.18911215697493355
